sernofx,Version,Holdouts Version,CB2b (Labeled)
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
46,929,3,Probably would subscribe
46,929,3,Definitely would subscribe
46,929,3,Definitely would subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
54,1628,2,Definitely would not subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would not subscribe
60,513,1,Definitely would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would subscribe
60,513,1,Definitely would not subscribe
60,513,1,Probably would not subscribe
60,513,1,Definitely would subscribe
60,513,1,Probably would not subscribe
60,513,1,Probably would subscribe
60,513,1,Probably would not subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
68,569,4,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would subscribe
73,213,2,Definitely would not subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would subscribe
73,213,2,Probably would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Definitely would not subscribe
76,1147,1,Probably would not subscribe
76,1147,1,Probably would not subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Definitely would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Definitely would subscribe
77,1898,1,Definitely would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would not subscribe
77,1898,1,Probably would subscribe
77,1898,1,Probably would subscribe
81,625,1,Definitely would subscribe
81,625,1,Definitely would subscribe
81,625,1,Probably would subscribe
81,625,1,Definitely would subscribe
81,625,1,Probably would subscribe
81,625,1,Definitely would not subscribe
81,625,1,Definitely would subscribe
81,625,1,Probably would subscribe
81,625,1,Definitely would subscribe
81,625,1,Probably would subscribe
81,625,1,Probably would subscribe
81,625,1,Probably would subscribe
81,625,1,Probably would not subscribe
81,625,1,Probably would subscribe
81,625,1,Probably would not subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would not subscribe
82,1151,2,Definitely would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would subscribe
82,1151,2,Probably would not subscribe
82,1151,2,Probably would not subscribe
82,1151,2,Probably would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
83,531,4,Definitely would subscribe
87,1427,2,Probably would subscribe
87,1427,2,Definitely would not subscribe
87,1427,2,Probably would not subscribe
87,1427,2,Probably would subscribe
87,1427,2,Probably would subscribe
87,1427,2,Probably would not subscribe
87,1427,2,Probably would subscribe
87,1427,2,Probably would not subscribe
87,1427,2,Probably would not subscribe
87,1427,2,Probably would not subscribe
87,1427,2,Probably would subscribe
87,1427,2,Probably would subscribe
87,1427,2,Probably would subscribe
87,1427,2,Probably would not subscribe
87,1427,2,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Definitely would subscribe
88,1731,1,Definitely would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
88,1731,1,Probably would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Probably would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Probably would not subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Probably would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
91,1559,2,Definitely would subscribe
92,480,4,Definitely would subscribe
92,480,4,Definitely would subscribe
92,480,4,Probably would subscribe
92,480,4,Definitely would not subscribe
92,480,4,Probably would subscribe
92,480,4,Probably would subscribe
92,480,4,Probably would subscribe
92,480,4,Probably would subscribe
92,480,4,Definitely would subscribe
92,480,4,Probably would subscribe
92,480,4,Probably would subscribe
92,480,4,Probably would subscribe
92,480,4,Definitely would subscribe
92,480,4,Probably would subscribe
92,480,4,Probably would subscribe
96,1876,4,Definitely would subscribe
96,1876,4,Probably would subscribe
96,1876,4,Probably would subscribe
96,1876,4,Definitely would subscribe
96,1876,4,Definitely would subscribe
96,1876,4,Definitely would subscribe
96,1876,4,Probably would subscribe
96,1876,4,Probably would subscribe
96,1876,4,Probably would subscribe
96,1876,4,Probably would subscribe
96,1876,4,Probably would subscribe
96,1876,4,Probably would not subscribe
96,1876,4,Definitely would subscribe
96,1876,4,Definitely would subscribe
96,1876,4,Probably would subscribe
113,75,4,Probably would not subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would not subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would not subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would subscribe
113,75,4,Probably would not subscribe
113,75,4,Probably would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Probably would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
115,1243,4,Definitely would subscribe
116,1843,3,Probably would subscribe
116,1843,3,Definitely would subscribe
116,1843,3,Definitely would subscribe
116,1843,3,Definitely would subscribe
116,1843,3,Definitely would subscribe
116,1843,3,Probably would subscribe
116,1843,3,Definitely would subscribe
116,1843,3,Definitely would subscribe
116,1843,3,Probably would subscribe
116,1843,3,Probably would subscribe
116,1843,3,Probably would subscribe
116,1843,3,Definitely would subscribe
116,1843,3,Probably would subscribe
116,1843,3,Probably would not subscribe
116,1843,3,Probably would subscribe
119,1180,3,Probably would subscribe
119,1180,3,Probably would subscribe
119,1180,3,Definitely would subscribe
119,1180,3,Definitely would subscribe
119,1180,3,Probably would subscribe
119,1180,3,Probably would subscribe
119,1180,3,Definitely would subscribe
119,1180,3,Probably would subscribe
119,1180,3,Probably would subscribe
119,1180,3,Definitely would subscribe
119,1180,3,Definitely would subscribe
119,1180,3,Definitely would subscribe
119,1180,3,Probably would subscribe
119,1180,3,Probably would not subscribe
119,1180,3,Definitely would subscribe
120,285,4,Definitely would subscribe
120,285,4,Probably would subscribe
120,285,4,Probably would subscribe
120,285,4,Probably would subscribe
120,285,4,Probably would not subscribe
120,285,4,Definitely would subscribe
120,285,4,Probably would not subscribe
120,285,4,Definitely would subscribe
120,285,4,Definitely would subscribe
120,285,4,Definitely would subscribe
120,285,4,Probably would subscribe
120,285,4,Probably would subscribe
120,285,4,Definitely would subscribe
120,285,4,Definitely would subscribe
120,285,4,Definitely would subscribe
126,481,1,Definitely would subscribe
126,481,1,Probably would subscribe
126,481,1,Definitely would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
126,481,1,Definitely would subscribe
126,481,1,Definitely would subscribe
126,481,1,Probably would subscribe
126,481,1,Probably would subscribe
127,463,3,Definitely would not subscribe
127,463,3,Probably would not subscribe
127,463,3,Probably would not subscribe
127,463,3,Probably would not subscribe
127,463,3,Definitely would not subscribe
127,463,3,Probably would subscribe
127,463,3,Probably would not subscribe
127,463,3,Definitely would not subscribe
127,463,3,Definitely would not subscribe
127,463,3,Probably would not subscribe
127,463,3,Definitely would not subscribe
127,463,3,Probably would not subscribe
127,463,3,Probably would not subscribe
127,463,3,Probably would not subscribe
127,463,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
136,53,3,Definitely would not subscribe
137,1540,2,Definitely would subscribe
137,1540,2,Probably would subscribe
137,1540,2,Definitely would subscribe
137,1540,2,Probably would subscribe
137,1540,2,Definitely would subscribe
137,1540,2,Probably would subscribe
137,1540,2,Probably would subscribe
137,1540,2,Definitely would subscribe
137,1540,2,Definitely would subscribe
137,1540,2,Definitely would subscribe
137,1540,2,Probably would subscribe
137,1540,2,Definitely would subscribe
137,1540,2,Probably would subscribe
137,1540,2,Probably would subscribe
137,1540,2,Definitely would subscribe
144,912,2,Probably would subscribe
144,912,2,Probably would subscribe
144,912,2,Probably would not subscribe
144,912,2,Definitely would subscribe
144,912,2,Probably would subscribe
144,912,2,Definitely would subscribe
144,912,2,Probably would not subscribe
144,912,2,Probably would subscribe
144,912,2,Definitely would subscribe
144,912,2,Probably would not subscribe
144,912,2,Probably would subscribe
144,912,2,Definitely would subscribe
144,912,2,Probably would not subscribe
